330, 160, 1354
310, 170, 1472
330, 170, 1474
210, 180, 1582
220, 180, 1583
290, 180, 1590
300, 180, 1591
430, 180, 1604
440, 180, 1605
200, 190, 1701
240, 190, 1705
290, 190, 1710
300, 190, 1711
430, 190, 1724
440, 190, 1725
90, 200, 1810
100, 200, 1811
190, 200, 1820
250, 200, 1826
290, 200, 1830
300, 200, 1831
90, 210, 1930
100, 210, 1931
190, 210, 1940
230, 210, 1944
250, 210, 1946
260, 210, 1947
310, 210, 1952
330, 210, 1954
190, 220, 2060
250, 220, 2066
330, 220, 2074
200, 230, 2181
240, 230, 2185
210, 240, 2302
220, 240, 2303
