330, 160, 1354
860, 160, 1407
310, 170, 1472
330, 170, 1474
860, 170, 1527
880, 170, 1529
210, 180, 1582
220, 180, 1583
290, 180, 1590
300, 180, 1591
430, 180, 1604
440, 180, 1605
750, 180, 1636
760, 180, 1637
890, 180, 1650
900, 180, 1651
970, 180, 1658
980, 180, 1659
200, 190, 1701
240, 190, 1705
290, 190, 1710
300, 190, 1711
430, 190, 1724
440, 190, 1725
750, 190, 1756
760, 190, 1757
890, 190, 1770
900, 190, 1771
950, 190, 1776
990, 190, 1780
90, 200, 1810
100, 200, 1811
190, 200, 1820
250, 200, 1826
290, 200, 1830
300, 200, 1831
890, 200, 1890
900, 200, 1891
940, 200, 1895
1000, 200, 1901
1090, 200, 1910
1100, 200, 1911
90, 210, 1930
100, 210, 1931
190, 210, 1940
230, 210, 1944
250, 210, 1946
260, 210, 1947
310, 210, 1952
330, 210, 1954
860, 210, 2007
880, 210, 2009
930, 210, 2014
940, 210, 2015
960, 210, 2017
1000, 210, 2021
1090, 210, 2030
1100, 210, 2031
190, 220, 2060
250, 220, 2066
330, 220, 2074
860, 220, 2127
940, 220, 2135
1000, 220, 2141
200, 230, 2181
240, 230, 2185
950, 230, 2256
990, 230, 2260
210, 240, 2302
220, 240, 2303
970, 240, 2378
980, 240, 2379
